Searched for gym based on prices,2024-05-26 18:14:37
Searched for gym based on prices,2024-05-26 18:16:33
Search for most frequent locations for events,2024-05-26 18:21:38
Search for most frequent locations for events,2024-05-26 18:21:59
Search for most frequent locations for events,2024-05-26 18:22:31
Search for most frequent locations for events,2024-05-26 18:23:45
Deleted expensive athletes,2024-05-26 18:24:58
Search for customer with most orders,2024-05-26 18:29:37
Search for customer with most orders,2024-05-26 18:29:54
Search for customer with most orders,2024-05-26 18:32:06
Search for customer with most orders,2024-05-26 18:35:25
Search for customer with most orders,2024-05-26 18:35:42
Search for customer with most orders,2024-05-26 18:37:47
Search for customer with most orders,2024-05-26 18:38:18
Search for customer with most orders,2024-05-26 18:39:37
Search for customer with most orders,2024-05-26 18:43:37
Search for customer with most orders,2024-05-26 18:44:17
Customer with most orders rewarded,2024-05-26 18:44:17
Search for customer with most orders,2024-05-26 18:44:25
Deleted old events,2024-05-26 18:46:16
Deleted old events,2024-05-26 18:46:50
Searched for events within a period from a city,2024-05-26 18:49:38
Searched for events within a period from a city,2024-05-26 18:50:08
Searched for customers that completed a challenge,2024-05-26 18:50:47
Searched for customers that completed a challenge,2024-05-26 18:51:10
Searched for customers that completed a challenge,2024-05-26 18:54:25
Searched for customers that completed a challenge,2024-05-26 18:55:20
Searched for customers that completed a challenge,2024-05-26 18:58:27
Searched for challenges completed less than n times,2024-05-26 19:01:01
Searched for customers with balance bigger than threshold,2024-05-26 19:03:31
Searched for customers with balance bigger than threshold,2024-05-26 19:03:40
Updated salary of popular athletes,2024-05-26 19:04:28
Get gym + membership counts,2024-05-26 19:09:16
Search for most frequent locations for events,2024-05-26 19:17:53
Search for most frequent locations for events,2024-05-26 19:19:59
Deleted expensive athletes,2024-05-26 19:22:51
Deleted expensive athletes,2024-05-26 19:23:26
Deleted expensive athletes,2024-05-26 19:24:40
Searched for challenges sorted by points,2024-05-26 19:25:39
Searched for customers that completed a challenge,2024-05-26 19:28:58
action,timestamp
Search for customer with most orders,2024-05-26 19:34:43
action,timestamp
Search for customer with most orders,2024-05-26 19:35:43
action,timestamp
Search for customer with most orders,2024-05-26 19:37:36
action,timestamp
Search for customer with most orders,2024-05-26 19:38:01
action,timestamp
Search for customer with most orders,2024-05-26 19:38:49
action,timestamp
Application started,2024-05-26 19:41:20
User logged in,2024-05-26 19:41:20
Performed some action,2024-05-26 19:41:20
action,timestamp
Application started,2024-05-26 19:41:37
User logged in,2024-05-26 19:41:37
Performed some action,2024-05-26 19:41:37
Application started,2024-05-26 19:42:18
User logged in,2024-05-26 19:42:18
Performed some action,2024-05-26 19:42:18
Application started,2024-05-26 19:43:31
User logged in,2024-05-26 19:43:31
Performed some action,2024-05-26 19:43:31
